What is your current CGPA?,PerformanceLevel,attendance_pct,How many hour do you study daily?,How many hour do you spent daily in social media?,What was your previous SGPA?,merit_scholar,uses_univ_transport,uses_smartphone,has_computer,attends_consultancy,How many hour do you spent daily on your skill development?
3.15,Good,85.0,3,1,2.68,0,1,1,1,1,2
3.15,Good,90.0,4,3,2.68,0,1,1,1,1,1
3.15,Good,90.0,2,5,2.68,1,1,1,1,1,1
3.15,Good,90.0,3,4,2.68,1,0,1,1,1,2
3.15,Good,88.0,2,6,2.68,0,0,1,1,1,1
3.15,Good,95.0,3,1,2.68,1,0,1,1,1,5
3.58,Good,95.0,1,1,3.5,1,0,1,0,1,1
3.82,Good,90.0,4,1,3.38,1,1,1,1,0,2
3.15,Good,90.0,2,1,2.68,0,0,1,1,1,1
3.15,Good,88.0,9,1,2.68,0,0,1,1,0,1
3.15,Good,100.0,3,2,2.68,1,1,1,1,1,3
3.15,Good,80.0,1,10,2.68,1,0,1,1,0,2
3.15,Good,80.0,3,3,2.68,1,0,1,1,1,3
2.69,Average,92.0,2,3,1.89,0,0,1,1,1,1
3.77,Good,90.0,7,3,3.7,1,0,1,0,1,1
3.15,Good,95.0,4,2,2.68,1,0,1,1,1,2
3.15,Good,95.0,5,3,2.68,1,0,1,1,0,2
2.53,Average,70.0,2,2,0.0,1,0,1,1,0,4
3.15,Good,99.0,3,2,2.68,0,1,1,0,1,2
2.66,Average,50.0,2,4,2.2,0,0,1,1,1,5
2.6,Average,100.0,1,4,2.6,1,0,1,1,1,4
2.91,Average,95.0,3,3,2.7,0,1,1,1,1,0
2.99,Average,90.0,2,1,2.87,0,0,1,1,1,2
3.15,Good,95.0,4,1,2.68,0,0,1,1,0,4
3.15,Good,70.0,2,4,2.68,0,1,1,1,1,4
3.15,Good,85.0,1,1,2.68,0,0,1,1,0,1
3.15,Good,99.0,3,1,2.68,0,0,1,1,0,3
2.92,Average,70.0,1,1,2.7,0,1,1,1,0,1
3.15,Good,73.0,2,1,2.68,0,1,1,1,1,2
3.15,Good,100.0,2,1,2.68,0,0,1,1,1,2
2.96,Average,70.0,3,1,2.98,0,1,1,1,0,2
3.15,Good,75.0,1,2,2.68,0,0,1,1,1,2
3.15,Good,80.0,5,7,2.68,1,0,1,1,0,2
3.15,Good,88.0,6,2,2.68,0,0,1,1,1,4
2.9,Average,99.0,3,2,3.52,0,0,1,1,0,7
3.08,Good,100.0,4,3,3.48,1,1,1,1,1,2
3.15,Good,90.0,2,3,2.68,1,1,1,1,1,3
3.15,Good,80.0,1,3,2.68,1,1,1,1,0,3
3.15,Good,90.0,2,5,2.68,0,0,1,1,0,2
2.68,Average,2.0,6,2,3.16,0,0,1,1,1,4
2.42,Average,87.0,2,1,1.92,0,0,1,1,1,1
3.15,Good,80.0,2,2,2.68,0,1,1,1,1,4
3.15,Good,50.0,5,6,2.68,0,1,1,1,1,2
3.15,Good,99.0,8,4,2.68,0,0,1,1,1,4
3.15,Good,99.0,3,1,2.68,0,1,1,1,0,1
3.15,Good,70.0,1,5,2.68,0,1,1,1,1,1
3.15,Good,100.0,7,1,2.68,1,1,1,1,1,3
3.15,Good,75.0,2,1,2.68,0,0,1,1,1,3
3.15,Good,100.0,6,6,2.68,1,0,1,1,1,2
3.15,Good,100.0,2,1,2.68,0,0,1,1,1,2
3.15,Good,88.0,4,2,2.68,0,1,1,0,1,3
3.15,Good,80.0,2,2,2.68,1,1,1,1,1,2
3.15,Good,80.0,2,3,2.68,0,1,1,1,0,2
3.23,Good,90.0,5,3,3.29,0,1,1,1,1,2
3.15,Good,100.0,3,3,2.68,0,1,1,1,1,3
3.15,Good,100.0,2,1,2.68,0,0,1,1,1,3
3.15,Good,80.0,3,3,2.68,0,0,1,1,1,4
3.15,Good,100.0,4,1,2.68,0,0,1,1,0,1
2.22,Average,80.0,3,5,2.0,0,1,1,1,0,3
3.15,Good,90.0,3,3,2.68,1,1,1,1,1,1
3.24,Good,80.0,5,3,3.3,0,0,1,1,1,2
3.15,Good,90.0,3,2,2.68,0,1,1,1,1,3
2.76,Average,90.0,1,12,3.01,0,0,1,1,1,6
3.15,Good,97.0,4,2,2.68,0,0,1,1,1,4
3.3,Good,95.0,3,3,3.2,0,0,1,1,1,2
3.15,Good,80.0,3,2,2.68,0,0,1,1,1,2
3.15,Good,90.0,4,6,2.68,1,0,1,1,1,2
3.15,Good,90.0,1,1,2.68,1,0,0,1,0,1
3.15,Good,90.0,3,4,2.68,1,1,1,1,1,2
2.4,Average,40.0,3,4,2.4,0,1,1,1,1,2
3.15,Good,90.0,4,2,2.68,0,0,1,1,0,1
2.75,Average,90.0,4,2,2.16,1,1,1,1,0,2
3.15,Good,90.0,8,3,2.68,1,0,1,1,1,2
3.15,Good,5.0,5,2,2.68,1,1,0,1,1,2
2.31,Average,97.0,5,2,0.0,0,0,0,1,1,4
2.51,Average,80.0,2,3,1.75,0,1,1,1,0,3
3.15,Good,90.0,4,4,2.68,0,0,1,0,1,2
3.15,Good,90.0,2,4,2.68,0,0,1,1,0,0
3.15,Good,92.0,3,0,2.68,1,0,1,1,1,3
3.15,Good,100.0,6,2,2.68,0,0,1,1,0,1
3.15,Good,88.0,2,4,2.68,1,1,1,1,0,3
3.15,Good,95.0,1,6,2.68,1,1,1,1,0,1
2.81,Average,98.0,3,2,2.6,0,0,1,1,1,2
3.5,Good,90.0,7,1,3.33,1,0,1,1,0,9
3.92,Good,90.0,3,2,4.0,0,0,1,1,0,2
3.25,Good,100.0,6,2,3.25,1,1,1,1,1,3
3.1,Good,100.0,1,1,3.46,1,0,1,1,1,2
3.73,Good,85.0,1,2,3.73,1,0,1,1,0,1
2.0,Poor,100.0,3,1,2.0,0,1,1,1,1,5
3.56,Good,80.0,2,5,3.78,1,1,1,1,1,2
3.02,Good,100.0,6,1,3.42,1,1,1,1,1,2
3.2,Good,95.0,4,5,3.5,0,0,1,1,1,1
3.26,Good,90.0,2,3,3.26,1,0,1,1,1,2
3.8,Good,70.0,2,2,3.9,1,1,1,1,0,1
3.68,Good,95.0,2,5,3.7,1,1,1,1,0,1
3.65,Good,100.0,3,3,3.82,0,0,1,1,0,2
3.72,Good,99.0,5,5,3.85,1,0,1,1,0,2
2.84,Average,95.0,2,3,3.1,0,1,1,1,1,3
2.67,Average,90.0,2,6,2.67,1,0,1,0,1,0
3.6,Good,80.0,3,1,3.82,0,1,1,1,0,1
3.72,Good,100.0,4,2,3.72,1,1,1,1,0,2
3.56,Good,90.0,2,2,3.51,0,1,1,1,1,1
3.35,Good,90.0,8,4,3.48,0,0,1,0,1,5
2.99,Average,90.0,3,20,2.65,0,0,1,1,1,1
